bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3033340001,5,M,550 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,550 KNICKERBOCKER AVENUE
3013570065,3,M,1371 SAINT MARKS AVENUE,11233,08,08,20,55,41,3035982,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1371 SAINT MARKS AVENUE
3013690058,4,M,1629 PARK PLACE,11233,08,09,20,55,41,3036364,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1629 PARK PLACE
3013750029,5,M,1630 PARK PLACE,11233,08,09,20,55,41,3036636,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1630 PARK PLACE
3013750031,6,M,1636 PARK PLACE,11233,08,09,20,55,41,3036637,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1636 PARK PLACE
3013750034,7,M,1640 PARK PLACE,11233,08,09,20,55,41,3036638,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1640 PARK PLACE
3013750036,8,M,1646 PARK PLACE,11233,08,09,20,55,41,3036639,CROWN HEIGHTS,brooklyn,121, 11/28/2023,1646 PARK PLACE
2045810001,4,M,1240 BURKE AVENUE,10469,11,15,36,83,12,2093501,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1240 BURKE AVENUE
2045810001,4,,1246 BURKE AVENUE,10469,11,15,36,83,12,2093501,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1246 BURKE AVENUE
2045810001,5,M,1260 BURKE AVENUE,10469,11,15,36,83,12,2093502,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1260 BURKE AVENUE
2045810001,6,M,3055 BOUCK AVENUE,10469,11,15,36,83,12,2093494,EASTCHESTER GARDENS,bronx,877, 3/27/2025,3055 BOUCK AVENUE
2045810001,7,M,1255 ADEE AVENUE,10469,11,15,36,83,12,2093493,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1255 ADEE AVENUE
2045810001,8,M,1245 ADEE AVENUE,10469,11,15,36,83,12,2093492,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1245 ADEE AVENUE
2045810001,9,,1221 ADEE AVENUE,10469,11,15,36,83,12,2093491,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1221 ADEE AVENUE
2045810001,9,M,1219 ADEE AVENUE,10469,11,15,36,83,12,2093491,EASTCHESTER GARDENS,bronx,877, 3/27/2025,1219 ADEE AVENUE
2049050003,30,M,1160 229TH DRIVE SOUTH,10466,12,16,36,83,12,2094169,EDENWALD,bronx,"2,039", 06/27/2013,1160 229 DRIVE SOUTH
2049050003,31,M,1187 226TH DRIVE,10466,12,16,36,83,12,2094166,EDENWALD,bronx,"2,039", 06/27/2013,1187 226 DRIVE
2049050003,31,M,1183 226TH DRIVE,10466,12,16,36,83,12,2094166,EDENWALD,bronx,"2,039", 06/27/2013,1183 226 DRIVE
2049050003,32,M,1169 226TH DRIVE,10466,12,16,36,83,12,2094165,EDENWALD,bronx,"2,039", 06/27/2013,1169 226 DRIVE
