,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1346,3030260001,3327889,10,M,,185,TEN EYCK,WALK,11206,185 TEN EYCK WALK
1347,3030260001,3327889,10,M,,187,TEN EYCK,WALK,11206,187 TEN EYCK WALK
1348,3030260001,3344971,11,M,,164,TEN EYCK,WALK,11206,164 TEN EYCK WALK
1349,3030260001,3344971,11,,,222,GRAHAM,AVENUE,11206,222 GRAHAM AVENUE
1350,3030260001,3344971,11,M,,166,TEN EYCK,WALK,11206,166 TEN EYCK WALK
1351,3030260001,3344971,11,M,,168,TEN EYCK,WALK,11206,168 TEN EYCK WALK
1352,3030260001,3344971,11,M,,169,STAGG,WALK,11206,169 STAGG WALK
1353,3030260001,3344971,11,M,,181,STAGG,WALK,11206,181 STAGG WALK
1354,3030260001,3327888,12,M,,186,TEN EYCK,WALK,11206,186 TEN EYCK WALK
1355,3030260001,3327888,12,M,,188,TEN EYCK,WALK,11206,188 TEN EYCK WALK
1356,3030260001,3327888,12,M,,190,TEN EYCK,WALK,11206,190 TEN EYCK WALK
1357,3030260001,3327888,12,M,,197,STAGG,WALK,11206,197 STAGG WALK
1358,3030260001,3327888,12,M,,199,STAGG,WALK,11206,199 STAGG WALK
1359,3030260001,3344974,13,,,210,GRAHAM,AVENUE,11206,210 GRAHAM AVENUE
1360,3030260001,3344974,13,M,,160,STAGG,WALK,11206,160 STAGG WALK
1361,3030260001,3344974,13,,,212,GRAHAM,AVENUE,11206,212 GRAHAM AVENUE
1362,3030260001,3344974,13,,,214,GRAHAM,AVENUE,11206,214 GRAHAM AVENUE
1363,3030260001,3344974,13,,,202,GRAHAM,AVENUE,11206,202 GRAHAM AVENUE
1364,3030260001,3344974,13,M,,165,SCHOLES,STREET,11206,165 SCHOLES STREET
1365,3030260001,3344974,13,M,,163,SCHOLES,STREET,11206,163 SCHOLES STREET
1366,3030260001,3344974,13,,,208,GRAHAM,AVENUE,11206,208 GRAHAM AVENUE
1367,3030260001,3344974,13,,,206,GRAHAM,AVENUE,11206,206 GRAHAM AVENUE
1368,3030260001,3344974,13,,,204,GRAHAM,AVENUE,11206,204 GRAHAM AVENUE
1369,3030260001,3344974,13,M,,161,SCHOLES,STREET,11206,161 SCHOLES STREET
1370,3030260001,3344974,13,,,159,SCHOLES,STREET,11206,159 SCHOLES STREET
1371,3030260001,3344974,13,M,,167,SCHOLES,STREET,11206,167 SCHOLES STREET
1372,3030260001,3344974,13,M,,169,SCHOLES,STREET,11206,169 SCHOLES STREET
1373,3030260001,3344974,13,M,,171,SCHOLES,STREET,11206,171 SCHOLES STREET
1374,3030260001,3344948,14,M,,181,SCHOLES,STREET,11206,181 SCHOLES STREET
1375,3030260001,3344948,14,M,,182,STAGG,WALK,11206,182 STAGG WALK
1376,3030260001,3344948,14,M,,180,STAGG,WALK,11206,180 STAGG WALK
1377,3030260001,3344948,14,M,,178,STAGG,WALK,11206,178 STAGG WALK
1378,3030260001,3344948,14,M,,186,STAGG,WALK,11206,186 STAGG WALK
1379,3030260001,3344948,14,M,,184,STAGG,WALK,11206,184 STAGG WALK
1380,3030260001,3344948,14,M,,183,SCHOLES,STREET,11206,183 SCHOLES STREET
1381,3030260001,3344948,14,M,,185,SCHOLES,STREET,11206,185 SCHOLES STREET
1382,3030270001,3338398,15,M,,197,TEN EYCK,WALK,11206,197 TEN EYCK WALK
1383,3030270001,3338398,15,M,,199,TEN EYCK,WALK,11206,199 TEN EYCK WALK
1384,3030270001,3338398,15,M,,198,MAUJER,STREET,11206,198 MAUJER STREET
1385,3030270001,3338398,15,M,,196,MAUJER,STREET,11206,196 MAUJER STREET
1386,3030270001,3338398,15,M,,200,MAUJER,STREET,11206,200 MAUJER STREET
1387,3030270001,3338398,15,M,,201,TEN EYCK,WALK,11206,201 TEN EYCK WALK
1388,3030270001,3338398,15,M,,203,TEN EYCK,WALK,11206,203 TEN EYCK WALK
1389,3030270001,3338398,15,M,,205,TEN EYCK,WALK,11206,205 TEN EYCK WALK
1390,3030270001,3344982,16,M,,219,TEN EYCK,WALK,11206,219 TEN EYCK WALK
1391,3030270001,3344982,16,M,,216,MAUJER,STREET,11206,216 MAUJER STREET
1392,3030270001,3344982,16,M,,214,MAUJER,STREET,11206,214 MAUJER STREET
1393,3030270001,3344982,16,M,,220,MAUJER,STREET,11206,220 MAUJER STREET
1394,3030270001,3344982,16,,,138,BUSHWICK,AVENUE,11206,138 BUSHWICK AVENUE
1395,3030270001,3344982,16,,,136,BUSHWICK,AVENUE,11206,136 BUSHWICK AVENUE
1396,3030270001,3344982,16,M,,218,MAUJER,STREET,11206,218 MAUJER STREET
1397,3030270001,3344982,16,,,134,BUSHWICK,AVENUE,11206,134 BUSHWICK AVENUE
1398,3030270001,3344982,16,,,132,BUSHWICK,AVENUE,11206,132 BUSHWICK AVENUE
1399,3030270001,3344982,16,,,130,BUSHWICK,AVENUE,11206,130 BUSHWICK AVENUE
1400,3030270001,3344982,16,,,128,BUSHWICK,AVENUE,11206,128 BUSHWICK AVENUE
1401,3030270001,3344982,16,M,,221,TEN EYCK,WALK,11206,221 TEN EYCK WALK
1402,3030270001,3344982,16,M,,223,TEN EYCK,WALK,11206,223 TEN EYCK WALK
1403,3030270001,3344982,16,,,124,BUSHWICK,AVENUE,11206,124 BUSHWICK AVENUE
1404,3030270001,3344982,16,,,122,BUSHWICK,AVENUE,11206,122 BUSHWICK AVENUE
1405,3030270001,3344992,17,M,,200,TEN EYCK,WALK,11206,200 TEN EYCK WALK
1406,3030270001,3344992,17,M,,202,TEN EYCK,WALK,11206,202 TEN EYCK WALK
1407,3030270001,3344992,17,M,,211,STAGG,WALK,11206,211 STAGG WALK
1408,3030270001,3344992,17,M,,213,STAGG,WALK,11206,213 STAGG WALK
1409,3030270001,3344992,17,M,,215,STAGG,WALK,11206,215 STAGG WALK
1410,3030270001,3338402,18,M,,222,TEN EYCK,WALK,11206,222 TEN EYCK WALK
1411,3030270001,3338402,18,M,,224,TEN EYCK,WALK,11206,224 TEN EYCK WALK
1412,3030270001,3338402,18,M,,226,TEN EYCK,WALK,11206,226 TEN EYCK WALK
1413,3030270001,3338402,18,M,,233,STAGG,WALK,11206,233 STAGG WALK
1414,3030270001,3338402,18,M,,235,STAGG,WALK,11206,235 STAGG WALK
1415,3030270001,3345008,19,M,,196,STAGG,WALK,11206,196 STAGG WALK
1416,3030270001,3345008,19,M,,199,SCHOLES,STREET,11206,199 SCHOLES STREET
1417,3030270001,3345008,19,M,,197,SCHOLES,STREET,11206,197 SCHOLES STREET
1418,3030270001,3345008,19,M,,195,SCHOLES,STREET,11206,195 SCHOLES STREET
1419,3030270001,3345008,19,M,,201,SCHOLES,STREET,11206,201 SCHOLES STREET
1420,3030270001,3345008,19,M,,203,SCHOLES,STREET,11206,203 SCHOLES STREET
1421,3030270001,3345008,19,M,,205,SCHOLES,STREET,11206,205 SCHOLES STREET
1422,3030240001,3327882,2,M,,109,TEN EYCK,WALK,11206,109 TEN EYCK WALK
1423,3030240001,3327882,2,M,,110,MAUJER,STREET,11206,110 MAUJER STREET
1424,3030240001,3327882,2,M,,108,MAUJER,STREET,11206,108 MAUJER STREET
1425,3030240001,3327882,2,M,,114,MAUJER,STREET,11206,114 MAUJER STREET
1426,3030240001,3327882,2,M,,112,MAUJER,STREET,11206,112 MAUJER STREET
1427,3030240001,3327882,2,M,,111,TEN EYCK,WALK,11206,111 TEN EYCK WALK
1428,3030240001,3327882,2,M,,113,TEN EYCK,WALK,11206,113 TEN EYCK WALK
1429,3030270001,3344998,20,M,,215,SCHOLES,STREET,11206,215 SCHOLES STREET
1430,3030270001,3344998,20,M,,218,STAGG,WALK,11206,218 STAGG WALK
1431,3030270001,3344998,20,M,,216,STAGG,WALK,11206,216 STAGG WALK
1432,3030270001,3344998,20,M,,214,STAGG,WALK,11206,214 STAGG WALK
1433,3030270001,3344998,20,,,178,BUSHWICK,AVENUE,11206,178 BUSHWICK AVENUE
1434,3030270001,3344998,20,M,,222,STAGG,WALK,11206,222 STAGG WALK
1435,3030270001,3344998,20,,,172,BUSHWICK,AVENUE,11206,172 BUSHWICK AVENUE
1436,3030270001,3344998,20,M,,220,STAGG,WALK,11206,220 STAGG WALK
1437,3030270001,3344998,20,,,176,BUSHWICK,AVENUE,11206,176 BUSHWICK AVENUE
1438,3030270001,3344998,20,M,,217,SCHOLES,STREET,11206,217 SCHOLES STREET
1439,3030270001,3344998,20,M,,219,SCHOLES,STREET,11206,219 SCHOLES STREET
1440,3030250070,3070826,21,,,195,GRAHAM,AVENUE,11206,195 GRAHAM AVENUE
1441,3030240001,3327879,3,M,,90,TEN EYCK,WALK,11206,90 TEN EYCK WALK
